#multi:
 cart  mass A  
t x y x y 
2.818796E0 -1.066913E-1 -4.011975E-2 -4.115766E-2 -4.146924E-1
2.835475E0 -1.066998E-1 -4.014428E-2 -4.536866E-2 -4.168097E-1
2.852154E0 -1.067032E-1 -4.017183E-2 -4.854713E-2 -4.166575E-1
2.868833E0 -1.066939E-1 -4.023396E-2 -5.174828E-2 -4.166607E-1
2.885513E0 -1.066933E-1 -4.018003E-2 -5.485325E-2 -4.165235E-1
2.902192E0 -1.066920E-1 -4.014895E-2 -5.785953E-2 -4.167999E-1
2.918871E0 -1.066871E-1 -4.014460E-2 -6.067291E-2 -4.168735E-1
2.935551E0 -1.066929E-1 -4.019736E-2 -6.349916E-2 -4.171512E-1
2.952230E0 -1.066964E-1 -4.017127E-2 -6.662157E-2 -4.172896E-1
2.968909E0 -1.066982E-1 -4.015664E-2 -6.937780E-2 -4.182027E-1
2.985588E0 -1.066953E-1 -4.014297E-2 -7.167445E-2 -4.186276E-1
3.002268E0 -1.066935E-1 -4.012442E-2 -7.423422E-2 -4.192553E-1
3.018947E0 -1.066929E-1 -4.013416E-2 -7.646532E-2 -4.197266E-1
3.035626E0 -1.065709E-1 -4.036504E-2 -7.765644E-2 -4.204284E-1
3.052305E0 -1.065849E-1 -4.057822E-2 -7.936264E-2 -4.210058E-1
3.068985E0 -1.056930E-1 -4.070378E-2 -8.065877E-2 -4.214758E-1
3.085664E0 -1.001870E-1 -4.100811E-2 -8.112484E-2 -4.217108E-1
3.102343E0 -9.179683E-2 -4.101260E-2 -8.160940E-2 -4.215976E-1
3.119022E0 -8.190376E-2 -4.168120E-2 -8.169667E-2 -4.218388E-1
3.135702E0 -7.161566E-2 -4.246404E-2 -8.179429E-2 -4.213674E-1
3.152381E0 -6.124044E-2 -4.269833E-2 -8.199415E-2 -4.208604E-1
3.169060E0 -4.886109E-2 -4.320490E-2 -8.125976E-2 -4.208285E-1
3.185739E0 -3.615044E-2 -4.355050E-2 -7.940541E-2 -4.203226E-1
3.202419E0 -2.361582E-2 -4.368766E-2 -7.700464E-2 -4.188954E-1
3.219098E0 -1.811741E-2 -4.318480E-2 -7.079470E-2 -4.184551E-1
3.235777E0 -2.775558E-17 -4.301794E-2 -6.835877E-2 -4.186393E-1
3.252457E0 1.471666E-2 -4.528204E-2 -6.417149E-2 -4.177320E-1
3.269136E0 2.558227E-2 -4.593951E-2 -5.793767E-2 -4.155025E-1
3.285815E0 4.109884E-2 -4.581772E-2 -5.243946E-2 -4.130211E-1
3.302494E0 5.667976E-2 -4.611226E-2 -3.948628E-2 -4.084248E-1
3.319174E0 6.061650E-2 -4.555905E-2 -2.817603E-2 -4.036561E-1
3.335853E0 6.352717E-2 -4.571848E-2 -1.968019E-2 -3.987132E-1
3.352532E0 6.710528E-2 -4.593080E-2 -6.632010E-3 -3.985022E-1
3.369211E0 7.030388E-2 -4.660910E-2 3.245983E-3 -4.009199E-1
3.385891E0 7.219883E-2 -4.673902E-2 1.436444E-2 -4.014116E-1
3.402570E0 7.289270E-2 -4.661666E-2 2.573225E-2 -4.063261E-1
3.419249E0 7.212967E-2 -4.664740E-2 3.916908E-2 -4.165328E-1
3.435928E0 6.987253E-2 -4.664966E-2 5.075549E-2 -4.224287E-1
3.452608E0 6.718397E-2 -4.665242E-2 6.069187E-2 -4.237157E-1
3.469287E0 6.446152E-2 -4.647377E-2 7.240848E-2 -4.214645E-1
3.485966E0 6.213740E-2 -4.655505E-2 8.589519E-2 -4.178640E-1
3.502646E0 6.047628E-2 -4.674637E-2 9.874028E-2 -4.149605E-1
3.519325E0 5.939199E-2 -4.668336E-2 1.110817E-1 -4.150821E-1
3.536004E0 5.886477E-2 -4.668580E-2 1.209818E-1 -4.154938E-1
3.552683E0 5.852885E-2 -4.665421E-2 1.310159E-1 -4.151022E-1
3.569363E0 5.860077E-2 -4.671012E-2 1.540219E-1 -4.140985E-1
3.586042E0 5.882419E-2 -4.670348E-2 1.616883E-1 -4.093292E-1
3.602721E0 5.912345E-2 -4.671046E-2 1.560874E-1 -4.078614E-1
3.619400E0 5.945908E-2 -4.672990E-2 1.656550E-1 -4.065339E-1
3.636080E0 5.998473E-2 -4.672603E-2 1.711573E-1 -4.045236E-1
3.652759E0 6.036611E-2 -4.666304E-2 1.760671E-1 -4.035588E-1
3.669438E0 6.060136E-2 -4.667871E-2 1.802773E-1 -4.019276E-1
3.686117E0 6.060881E-2 -4.676202E-2 1.807485E-1 -4.025618E-1
3.702797E0 6.057350E-2 -4.673122E-2 1.807659E-1 -4.000327E-1
3.719476E0 6.029088E-2 -4.674896E-2 1.811484E-1 -3.986549E-1
3.736155E0 5.982610E-2 -4.684150E-2 1.811227E-1 -3.988256E-1
3.752834E0 5.899604E-2 -4.686898E-2 1.804984E-1 -3.989879E-1
3.769514E0 5.818110E-2 -4.697970E-2 1.756322E-1 -3.999176E-1
3.786193E0 5.726137E-2 -4.727294E-2 1.693023E-1 -4.000854E-1
3.802872E0 5.651410E-2 -4.755016E-2 1.611046E-1 -4.006872E-1
3.819552E0 5.584686E-2 -4.749362E-2 1.530628E-1 -4.011425E-1
3.836231E0 5.555776E-2 -4.758759E-2 1.447809E-1 -4.029522E-1
3.852910E0 5.539584E-2 -4.760469E-2 1.357467E-1 -4.057011E-1
3.869589E0 5.540958E-2 -4.760836E-2 1.261075E-1 -4.086119E-1
3.886269E0 5.542195E-2 -4.757784E-2 1.157450E-1 -4.102305E-1
3.902948E0 5.554176E-2 -4.766215E-2 1.039838E-1 -4.116159E-1
3.919627E0 5.563926E-2 -4.775601E-2 9.224833E-2 -4.125533E-1
3.936306E0 5.577348E-2 -4.775054E-2 7.980294E-2 -4.139207E-1
3.952986E0 5.590459E-2 -4.765251E-2 6.745759E-2 -4.152510E-1
3.969665E0 5.610358E-2 -4.778131E-2 5.431816E-2 -4.158335E-1
3.986344E0 5.614241E-2 -4.770553E-2 4.211311E-2 -4.152589E-1
4.003023E0 5.610504E-2 -4.764553E-2 2.986301E-2 -4.145287E-1
4.019703E0 5.597163E-2 -4.760515E-2 1.761147E-2 -4.137570E-1
4.036382E0 5.588866E-2 -4.771833E-2 6.022917E-3 -4.131653E-1
4.053061E0 5.594236E-2 -4.766117E-2 -5.179178E-3 -4.122925E-1
4.069740E0 5.602100E-2 -4.762741E-2 -1.517206E-2 -4.108275E-1
4.086420E0 5.610571E-2 -4.760812E-2 -2.406834E-2 -4.089659E-1
4.103099E0 5.628161E-2 -4.768147E-2 -3.280078E-2 -4.080069E-1
4.119778E0 5.635401E-2 -4.767053E-2 -4.165130E-2 -4.025396E-1
4.136458E0 5.649180E-2 -4.767206E-2 -4.874791E-2 -3.996417E-1
4.153137E0 5.646033E-2 -4.766779E-2 -5.364207E-2 -3.976002E-1
4.169816E0 5.644311E-2 -4.767940E-2 -5.786614E-2 -3.962190E-1
4.186495E0 5.640450E-2 -4.765359E-2 -6.023529E-2 -3.946746E-1
4.203175E0 5.638175E-2 -4.763780E-2 -6.163516E-2 -3.939910E-1
4.219854E0 5.635212E-2 -4.761320E-2 -6.156372E-2 -3.940004E-1
4.236533E0 5.634543E-2 -4.759197E-2 -6.018565E-2 -3.948438E-1
4.253212E0 5.635786E-2 -4.759329E-2 -5.811454E-2 -3.964959E-1
4.269892E0 5.653324E-2 -4.758657E-2 -5.487290E-2 -3.985626E-1
4.286571E0 5.680554E-2 -4.752412E-2 -5.058253E-2 -4.008169E-1
4.303250E0 5.714121E-2 -4.755318E-2 -4.532356E-2 -4.028722E-1
4.319929E0 5.715992E-2 -4.756158E-2 -3.896469E-2 -4.053856E-1
4.336609E0 5.715051E-2 -4.756238E-2 -3.158989E-2 -4.078161E-1
4.353288E0 5.702365E-2 -4.754919E-2 -2.356531E-2 -4.105581E-1
4.369967E0 5.680387E-2 -4.753873E-2 -1.476939E-2 -4.132551E-1
4.386647E0 5.664982E-2 -4.758993E-2 -5.195020E-3 -4.158466E-1
4.403326E0 5.642830E-2 -4.759710E-2 4.618661E-3 -4.186776E-1
4.420005E0 5.636334E-2 -4.757139E-2 1.517252E-2 -4.210029E-1
4.436684E0 5.633888E-2 -4.756415E-2 2.665089E-2 -4.231388E-1
4.453364E0 5.632699E-2 -4.756162E-2 3.840673E-2 -4.248727E-1
4.470043E0 5.632690E-2 -4.756295E-2 5.025655E-2 -4.258222E-1
4.486722E0 5.633134E-2 -4.760495E-2 6.509349E-2 -4.283917E-1
4.503401E0 5.631590E-2 -4.759718E-2 7.635013E-2 -4.279081E-1
4.520081E0 5.619685E-2 -4.765561E-2 8.651973E-2 -4.261370E-1
4.536760E0 5.606433E-2 -4.774056E-2 1.028258E-1 -4.266880E-1
4.553439E0 5.590786E-2 -4.769438E-2 1.086842E-1 -4.233162E-1
4.570118E0 5.577721E-2 -4.782166E-2 1.195181E-1 -4.216054E-1
4.586798E0 5.548464E-2 -4.783240E-2 1.290869E-1 -4.199485E-1
4.603477E0 5.539831E-2 -4.776678E-2 1.376651E-1 -4.176312E-1
4.620156E0 5.539040E-2 -4.771133E-2 1.463528E-1 -4.143525E-1
4.636835E0 5.533318E-2 -4.767510E-2 1.534197E-1 -4.117691E-1
4.653515E0 5.535634E-2 -4.764741E-2 1.597074E-1 -4.096292E-1
4.670194E0 5.538043E-2 -4.762182E-2 1.610790E-1 -4.084248E-1
4.686873E0 5.538448E-2 -4.765837E-2 1.648396E-1 -4.067534E-1
4.703553E0 5.539860E-2 -4.764205E-2 1.709982E-1 -4.030346E-1
4.720232E0 5.539321E-2 -4.769818E-2 1.725574E-1 -4.015091E-1
4.736911E0 5.539069E-2 -4.775101E-2 1.728623E-1 -4.004788E-1
4.753590E0 5.539521E-2 -4.772208E-2 1.716494E-1 -4.000380E-1
4.770270E0 5.540282E-2 -4.777927E-2 1.697271E-1 -4.001304E-1
4.786949E0 5.540418E-2 -4.773820E-2 1.664019E-1 -4.007585E-1
4.803628E0 5.542964E-2 -4.766548E-2 1.623424E-1 -4.017324E-1
4.820307E0 5.543413E-2 -4.764306E-2 1.571283E-1 -4.033105E-1
4.836987E0 5.543914E-2 -4.762680E-2 1.509003E-1 -4.048708E-1
4.853666E0 5.545492E-2 -4.760237E-2 1.438999E-1 -4.068226E-1
4.870345E0 5.547450E-2 -4.760328E-2 1.359564E-1 -4.085352E-1
4.887024E0 5.551615E-2 -4.758575E-2 1.271770E-1 -4.103537E-1
4.903704E0 5.559916E-2 -4.756390E-2 1.175080E-1 -4.120635E-1
4.920383E0 5.556731E-2 -4.756615E-2 1.006456E-1 -4.167079E-1
4.937062E0 5.554215E-2 -4.757249E-2 8.830204E-2 -4.183507E-1
4.953741E0 5.552521E-2 -4.751541E-2 8.566949E-2 -4.168146E-1
4.970421E0 5.552624E-2 -4.753089E-2 7.511727E-2 -4.176693E-1
4.987100E0 5.552442E-2 -4.750831E-2 6.373533E-2 -4.182197E-1
5.003779E0 5.559048E-2 -4.752637E-2 5.240060E-2 -4.185146E-1
5.020459E0 5.556486E-2 -4.754196E-2 4.118543E-2 -4.184579E-1
5.037138E0 5.562728E-2 -4.756287E-2 3.080966E-2 -4.183862E-1
5.053817E0 5.559131E-2 -4.756171E-2 1.692269E-2 -4.180352E-1
5.070496E0 5.563543E-2 -4.755110E-2 8.147964E-3 -4.171995E-1
5.087176E0 5.564438E-2 -4.755669E-2 3.926426E-3 -4.182357E-1
